Electric Conductivity = 0
H-B Curve = Variable coupled iter
Real Monotone Cubic 
0	0
0.00040000000000000002	10
0.00059999999999999995	12.6
0.00089999999999999998	15.800000000000001
0.0012999999999999999	20
0.0019	25.100000000000001
0.0028	31.600000000000001
0.0041999999999999997	39.799999999999997
0.0064000000000000003	50.100000000000001
0.0099000000000000008	63.100000000000001
0.015299999999999999	79.400000000000006
0.023699999999999999	100
0.037100000000000001	125.90000000000001
0.058099999999999999	158.5
0.090899999999999995	199.5
0.14119999999999999 251.19999999999999 
0.21629999999999999	316.19999999999999
0.3231	398.10000000000002 
0.46439999999999998	501.19999999999999
0.63429999999999997	631
0.8165	794.29999999999995 
0.99329999999999996	1000
1.1674	1258.9000000000001
1.3446	1584.9000000000001 
1.4561999999999999	1995.3
1.5228999999999999	2511.9000000000001
1.5772999999999999	3162.3000000000002
1.6273	3981.0999999999999 
1.6755	5011.8999999999996 
1.7233000000000001	6309.6000000000004
1.7722	7943.3000000000002
1.8237000000000001	10000 
1.8794	12589.299999999999
1.9397	15848.9
2.0021	19952.599999999999
2.0613999999999999	25118.900000000001
2.1122000000000001	31622.799999999999
2.1528	39810.699999999997
2.1852999999999998	50118.699999999997
2.2132999999999998	63095.699999999997 
2.2406000000000001	79432.800000000003
2.2703000000000002	100000 
2.3050999999999999	125893
2.3473000000000002	158489 
2.3997000000000002	199526 
2.4649999999999999	251189
2.5470000000000002	316228
2.6499999999999999	398107
2.7797000000000001	501187
2.9428000000000001	630957
3.1480999999999999	794328



